Person 2,Neutral,2024-04-16 16:20:32
Person 2,Neutral,2024-04-16 16:20:32
Person 1,Neutral,2024-04-16 16:20:42
Person 1,Neutral,2024-04-19 15:27:55
Person 1,Neutral,2024-04-19 15:27:55
Person 2,Sad,2024-04-19 15:28:05
Person 1,Neutral,2024-04-20 11:55:12
Person 1,Angry,2024-04-20 11:59:03
Person 1,Sad,2024-04-23 10:10:50
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 2,Neutral,2024-04-23 10:12:11
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 2,Neutral,2024-04-23 10:12:11
Person 1,Fear,2024-04-23 10:12:21
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 2,Neutral,2024-04-23 10:12:11
Person 1,Fear,2024-04-23 10:12:21
Person 1,Neutral,2024-04-23 10:12:31
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 2,Neutral,2024-04-23 10:12:11
Person 1,Fear,2024-04-23 10:12:21
Person 1,Neutral,2024-04-23 10:12:31
Person 2,Neutral,2024-04-23 10:12:41
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 2,Neutral,2024-04-23 10:12:11
Person 1,Fear,2024-04-23 10:12:21
Person 1,Neutral,2024-04-23 10:12:31
Person 2,Neutral,2024-04-23 10:12:41
Person 2,Neutral,2024-04-23 10:12:51
Person 1,Sad,2024-04-23 10:10:50
Person 1,Neutral,2024-04-23 10:11:00
Person 1,Neutral,2024-04-23 10:11:10
Person 1,Neutral,2024-04-23 10:11:20
Person 1,Angry,2024-04-23 10:11:31
Person 2,Neutral,2024-04-23 10:11:41
Person 2,Happy,2024-04-23 10:11:51
Person 1,Neutral,2024-04-23 10:12:01
Person 2,Neutral,2024-04-23 10:12:11
Person 1,Fear,2024-04-23 10:12:21
Person 1,Neutral,2024-04-23 10:12:31
Person 2,Neutral,2024-04-23 10:12:41
Person 2,Neutral,2024-04-23 10:12:51
Person 2,Fear,2024-04-23 10:13:01
Person 1,Sad,2024-04-23 10:10:50
